electricity_id,user_id,date,units_kwh,meter_reading,source,created_at
1,1,2025-01-01,6.87,4275.23,Grid,2025-01-01
2,1,2025-01-02,7.99,2191.02,Solar,2025-01-02
3,1,2025-01-03,9.33,3709.48,Grid,2025-01-03
4,1,2025-01-04,9.85,1696.71,Grid,2025-01-04
5,1,2025-01-05,5.91,4682.84,Grid,2025-01-05
6,1,2025-01-06,7.62,1155.7,Solar,2025-01-06
7,1,2025-01-07,8.06,1386.76,Solar,2025-01-07
8,1,2025-01-08,7.28,3689.07,Solar,2025-01-08
9,1,2025-01-09,7.96,3884.8,Grid,2025-01-09
10,1,2025-01-10,5.33,3155.0,Grid,2025-01-10
11,1,2025-01-11,9.04,1336.67,Grid,2025-01-11
12,1,2025-01-12,7.2,3837.35,Grid,2025-01-12
13,1,2025-01-13,5.17,3906.27,Grid,2025-01-13
14,1,2025-01-14,8.31,2027.83,Grid,2025-01-14
15,1,2025-01-15,7.73,3567.32,Grid,2025-01-15
16,1,2025-01-16,8.88,1839.79,Grid,2025-01-16
17,1,2025-01-17,7.99,3252.36,Solar,2025-01-17
18,1,2025-01-18,5.23,2227.45,Solar,2025-01-18
19,1,2025-01-19,9.14,3634.08,Grid,2025-01-19
20,1,2025-01-20,7.71,1142.0,Solar,2025-01-20
21,1,2025-01-21,5.37,1946.49,Solar,2025-01-21
22,1,2025-01-22,5.99,1367.17,Grid,2025-01-22
23,1,2025-01-23,8.53,4221.08,Solar,2025-01-23
24,1,2025-01-24,5.37,2467.48,Solar,2025-01-24
25,1,2025-01-25,9.32,1952.62,Grid,2025-01-25
26,1,2025-01-26,5.32,4093.39,Grid,2025-01-26
27,1,2025-01-27,8.19,2533.53,Grid,2025-01-27
28,1,2025-01-28,8.57,1658.8,Grid,2025-01-28
29,1,2025-01-29,7.47,4120.99,Solar,2025-01-29
30,1,2025-01-30,5.13,2861.68,Solar,2025-01-30
31,1,2025-01-31,6.57,1402.84,Grid,2025-01-31
32,1,2025-02-01,7.05,2434.62,Grid,2025-02-01
33,1,2025-02-02,5.38,3063.18,Solar,2025-02-02
34,1,2025-02-03,9.65,4779.32,Solar,2025-02-03
35,1,2025-02-04,9.02,3643.85,Grid,2025-02-04
36,1,2025-02-05,9.04,2816.33,Grid,2025-02-05
37,1,2025-02-06,6.14,3943.27,Solar,2025-02-06
38,1,2025-02-07,5.03,3894.29,Grid,2025-02-07
39,1,2025-02-08,5.6,4727.75,Solar,2025-02-08
40,1,2025-02-09,7.59,3896.09,Grid,2025-02-09
41,1,2025-02-10,9.86,1717.32,Solar,2025-02-10
42,1,2025-02-11,7.49,2235.53,Solar,2025-02-11
43,1,2025-02-12,5.18,4681.1,Solar,2025-02-12
44,1,2025-02-13,5.26,4989.38,Grid,2025-02-13
45,1,2025-02-14,6.2,4805.06,Grid,2025-02-14
46,1,2025-02-15,9.93,2103.64,Grid,2025-02-15
47,1,2025-02-16,8.81,3362.4,Solar,2025-02-16
48,1,2025-02-17,6.84,1744.34,Solar,2025-02-17
49,1,2025-02-18,5.45,3520.82,Solar,2025-02-18
50,1,2025-02-19,5.93,2957.78,Solar,2025-02-19
51,1,2025-02-20,5.08,1424.81,Solar,2025-02-20
52,1,2025-02-21,5.87,3734.75,Grid,2025-02-21
53,1,2025-02-22,9.68,1465.73,Grid,2025-02-22
54,1,2025-02-23,9.62,4393.64,Grid,2025-02-23
55,1,2025-02-24,8.3,2867.02,Solar,2025-02-24
56,1,2025-02-25,7.65,2953.39,Solar,2025-02-25
57,1,2025-02-26,9.49,1726.76,Solar,2025-02-26
58,1,2025-02-27,6.7,2252.34,Solar,2025-02-27
59,1,2025-02-28,9.49,2008.62,Grid,2025-02-28
60,1,2025-03-01,8.21,3676.83,Grid,2025-03-01
61,1,2025-03-02,8.03,1491.73,Grid,2025-03-02
62,1,2025-03-03,5.03,2427.74,Solar,2025-03-03
63,1,2025-03-04,8.46,1341.57,Grid,2025-03-04
64,1,2025-03-05,8.56,2092.19,Grid,2025-03-05
65,1,2025-03-06,8.73,4130.74,Grid,2025-03-06
66,1,2025-03-07,7.84,3551.79,Solar,2025-03-07
67,1,2025-03-08,6.22,4846.49,Grid,2025-03-08
68,1,2025-03-09,8.16,2089.31,Grid,2025-03-09
69,1,2025-03-10,7.88,4733.83,Grid,2025-03-10
70,1,2025-03-11,8.61,1493.14,Solar,2025-03-11
71,1,2025-03-12,5.89,4043.48,Solar,2025-03-12
72,1,2025-03-13,6.85,3262.68,Solar,2025-03-13
73,1,2025-03-14,9.83,1795.37,Grid,2025-03-14
74,1,2025-03-15,6.47,3191.34,Grid,2025-03-15
75,1,2025-03-16,5.85,3303.75,Grid,2025-03-16
76,1,2025-03-17,8.48,2502.39,Grid,2025-03-17
77,1,2025-03-18,8.08,4369.91,Solar,2025-03-18
78,1,2025-03-19,7.59,2802.39,Solar,2025-03-19
79,1,2025-03-20,8.51,1388.17,Grid,2025-03-20
80,1,2025-03-21,9.05,4834.45,Solar,2025-03-21
81,1,2025-03-22,9.57,3930.9,Grid,2025-03-22
82,1,2025-03-23,8.99,1562.14,Grid,2025-03-23
83,1,2025-03-24,9.45,1906.82,Solar,2025-03-24
84,1,2025-03-25,5.47,2073.14,Grid,2025-03-25
85,1,2025-03-26,7.71,1041.01,Grid,2025-03-26
86,1,2025-03-27,5.15,1138.47,Grid,2025-03-27
87,1,2025-03-28,6.8,4136.3,Solar,2025-03-28
88,1,2025-03-29,8.85,2207.12,Grid,2025-03-29
89,1,2025-03-30,5.43,2875.49,Grid,2025-03-30
90,1,2025-03-31,8.19,2453.41,Solar,2025-03-31
91,1,2025-04-01,7.58,4948.22,Solar,2025-04-01
92,1,2025-04-02,6.35,3422.31,Solar,2025-04-02
93,1,2025-04-03,9.81,4368.59,Grid,2025-04-03
94,1,2025-04-04,7.04,3919.31,Grid,2025-04-04
95,1,2025-04-05,6.25,1371.89,Grid,2025-04-05
96,1,2025-04-06,6.4,4528.16,Solar,2025-04-06
97,1,2025-04-07,7.77,2061.93,Solar,2025-04-07
98,1,2025-04-08,6.24,1639.58,Grid,2025-04-08
99,1,2025-04-09,5.07,2584.51,Grid,2025-04-09
