incentive_id,user_id,eco_points,rank,last_updated
1,1,160387,1,2026-04-11T23:15:50.047988
2,2,606,230,2026-02-10 19:49:57.908742
3,3,791,112,2026-02-10 19:49:57.908742
4,4,447,309,2026-02-10 19:49:57.908742
5,5,794,111,2026-02-10 19:49:57.908742
6,6,710,177,2026-02-10 19:49:57.908742
7,7,849,82,2026-02-10 19:49:57.908742
8,8,945,35,2026-02-10 19:49:57.908742
9,9,899,53,2026-02-10 19:49:57.908742
10,10,38668,2,2026-04-11T23:30:45.001993
11,11,705,179,2026-02-10 19:49:57.908742
12,12,154,479,2026-02-10 19:49:57.908742
13,13,738,160,2026-02-10 19:49:57.908742
14,14,354,358,2026-02-10 19:49:57.908742
15,15,977,12,2026-02-10 19:49:57.908742
16,16,608,226,2026-02-10 19:49:57.908742
17,17,262,405,2026-02-10 19:49:57.908742
18,18,464,300,2026-02-10 19:49:57.908742
19,19,194,447,2026-02-10 19:49:57.908742
20,20,763,138,2026-02-10 19:49:57.908742
21,21,156,475,2026-02-10 19:49:57.908742
22,22,126,493,2026-02-10 19:49:57.908742
23,23,830,91,2026-02-10 19:49:57.908742
24,24,500,283,2026-02-10 19:49:57.908742
25,25,153,483,2026-02-10 19:49:57.908742
26,26,228,421,2026-02-10 19:49:57.908742
27,27,320,376,2026-02-10 19:49:57.908742
28,28,744,152,2026-02-10 19:49:57.908742
29,29,610,224,2026-02-10 19:49:57.908742
30,30,300,390,2026-02-10 19:49:57.908742
31,31,859,75,2026-02-10 19:49:57.908742
32,32,895,58,2026-02-10 19:49:57.908742
33,33,487,287,2026-02-10 19:49:57.908742
34,34,160,472,2026-02-10 19:49:57.908742
35,35,178,456,2026-02-10 19:49:57.908742
36,36,824,96,2026-02-10 19:49:57.908742
37,37,383,341,2026-02-10 19:49:57.908742
38,38,903,47,2026-02-10 19:49:57.908742
39,39,878,67,2026-02-10 19:49:57.908742
40,40,714,171,2026-02-10 19:49:57.908742
41,41,118,495,2026-02-10 19:49:57.908742
42,42,973,19,2026-02-10 19:49:57.908742
43,43,366,351,2026-02-10 19:49:57.908742
44,44,7397,4,2026-03-02T17:32:42.338210
45,45,786,120,2026-02-10 19:49:57.908742
46,46,743,154,2026-02-10 19:49:57.908742
47,47,592,239,2026-02-10 19:49:57.908742
48,48,490,286,2026-02-10 19:49:57.908742
49,49,482,290,2026-02-10 19:49:57.908742
50,50,748,148,2026-02-10 19:49:57.908742
51,51,508,280,2026-02-10 19:49:57.908742
52,52,162,470,2026-02-10 19:49:57.908742
53,53,403,331,2026-02-10 19:49:57.908742
54,54,202,438,2026-02-10 19:49:57.908742
55,55,608,226,2026-02-10 19:49:57.908742
56,56,318,380,2026-02-10 19:49:57.908742
57,57,384,340,2026-02-10 19:49:57.908742
58,58,306,386,2026-02-10 19:49:57.908742
59,59,163,469,2026-02-10 19:49:57.908742
60,60,105,497,2026-02-10 19:49:57.908742
61,61,726,166,2026-02-10 19:49:57.908742
62,62,740,157,2026-02-10 19:49:57.908742
63,63,212,429,2026-02-10 19:49:57.908742
64,64,953,29,2026-02-10 19:49:57.908742
65,65,649,205,2026-02-10 19:49:57.908742
66,66,306,386,2026-02-10 19:49:57.908742
67,67,825,94,2026-02-10 19:49:57.908742
68,68,881,64,2026-02-10 19:49:57.908742
69,69,536,263,2026-02-10 19:49:57.908742
70,70,750,147,2026-02-10 19:49:57.908742
71,71,550,256,2026-02-10 19:49:57.908742
72,72,604,231,2026-02-10 19:49:57.908742
73,73,900,50,2026-02-10 19:49:57.908742
74,74,690,187,2026-02-10 19:49:57.908742
75,75,714,171,2026-02-10 19:49:57.908742
76,76,630,216,2026-02-10 19:49:57.908742
77,77,8600,3,2026-04-11T23:30:45.042200
78,78,444,311,2026-02-10 19:49:57.908742
79,79,356,356,2026-02-10 19:49:57.908742
80,80,661,200,2026-02-10 19:49:57.908742
81,81,558,254,2026-02-10 19:49:57.908742
82,82,319,377,2026-02-10 19:49:57.908742
83,83,173,465,2026-02-10 19:49:57.908742
84,84,261,406,2026-02-10 19:49:57.908742
85,85,522,273,2026-02-10 19:49:57.908742
86,86,900,50,2026-02-10 19:49:57.908742
87,87,135,487,2026-02-10 19:49:57.908742
88,88,977,12,2026-02-10 19:49:57.908742
89,89,879,66,2026-02-10 19:49:57.908742
90,90,418,321,2026-02-10 19:49:57.908742
91,91,164,468,2026-02-10 19:49:57.908742
92,92,440,313,2026-02-10 19:49:57.908742
93,93,885,62,2026-02-10 19:49:57.908742
94,94,744,152,2026-02-10 19:49:57.908742
95,95,824,96,2026-02-10 19:49:57.908742
96,96,232,418,2026-02-10 19:49:57.908742
97,97,598,235,2026-02-10 19:49:57.908742
98,98,958,27,2026-02-10 19:49:57.908742
99,99,179,455,2026-02-10 19:49:57.908742
100,100,601,234,2026-02-10 19:49:57.908742
101,101,410,325,2026-02-10 19:49:57.908742
102,102,635,211,2026-02-10 19:49:57.908742
103,103,789,118,2026-02-10 19:49:57.908742
104,104,712,174,2026-02-10 19:49:57.908742
105,105,174,462,2026-02-10 19:49:57.908742
