id,user_id,badge_id,awarded_at
1,10,1,2026-04-10T16:42:16.437805
2,10,3,2026-04-10T16:42:16.447142
3,10,4,2026-04-10T16:42:16.455144
4,10,5,2026-04-10T16:42:16.462336
5,10,6,2026-04-10T16:42:16.465935
6,10,7,2026-04-10T16:42:16.469566
7,10,8,2026-04-10T16:42:16.474556
8,10,9,2026-04-10T16:42:16.481841
9,1,1,2026-04-11T18:36:11.287430
10,1,3,2026-04-11T18:36:11.296155
11,1,4,2026-04-11T18:36:11.302800
12,1,5,2026-04-11T18:36:11.303955
13,1,6,2026-04-11T18:36:11.308912
14,1,7,2026-04-11T18:36:11.315342
15,1,8,2026-04-11T18:36:11.318971
16,1,9,2026-04-11T18:36:11.321017
17,1,10,2026-04-11T21:17:22.911740
18,77,1,2026-04-11T23:19:31.262850
19,77,3,2026-04-11T23:19:31.279176
20,77,4,2026-04-11T23:19:31.279176
21,77,5,2026-04-11T23:19:31.279176
22,77,6,2026-04-11T23:19:31.279176
23,77,7,2026-04-11T23:19:31.295107
24,77,8,2026-04-11T23:19:31.295107
25,77,9,2026-04-11T23:19:31.295107
26,10,10,2026-04-11T23:23:55.678439
